Size,Class,MinorDiaMin,MinorDiaMax,PitchDiaMin,PitchDiaMax,PitchDiaTolerance,MajorDiaMin,MajorDiaMax
M1.6x0.35,6H,1.221,1.321,1.373,1.458,0.085,1.600,1.736 
M2x0.4,6H,1.567,1.679,1.740,1.830,0.090,2.000,2.148 
M2.5x0.45,6H,2.013,2.138,2.208,2.303,0.095,2.500,2.660 
M3x0.5,6H,2.459,2.599,2.675,2.775,0.100,3.000,3.172 
M3.5x0.6,6H,2.850,3.010,3.110,3.222,0.112,3.500,3.698 
M4x0.7,6H,3.242,3.422,3.545,3.663,0.118,4.000,4.219
M5x0.8,6H,4.134,4.334,4.480,4.605,0.125,5.000,5.240 
M6x1,6H,4.917,5.153,5.350,5.500,0.150,6.000,6.294 
M8x1.25,6H,6.647,6.912,7.188,7.348,0.160,8.000,8.340 
M8x1,6H,6.917,7.153,7.350,7.500,0.150,8.000,8.294 
M10x0.75,6H,9.188,9.378,9.513,9.645,0.132,10.000,10.240 
M10x1,6H,8.917,9.153,9.350,9.500,0.150,10.000,10.294 
M10x1.5,6H,8.376,8.676,9.026,9.206,0.180,10.000,10.397 
M10x1.25,6H,8.647,8.912,9.188,9.348,0.160,10.000,10.340 
M12x1.75,6H,10.106,10.441,10.863,11.063,0.200,12.000,12.452 
M12x1.5,6H,10.376,10.676,11.026,11.216,0.190,12.000,12.407 
M12x1.25,6H,10.647,10.912,11.188,11.368,0.180,12.000,12.360 
M12x1,6H,10.917,11.153,11.350,11.510,0.160,12.000,12.304 
M14x2,6H,11.835,12.210,12.701,12.913,0.212,14.000,14.501 
M14x1.5,6H,12.376,12.676,13.026,13.216,0.190,14.000,14.407 
M15x1,6H,13.917,14.153,14.350,14.510,0.160,15.000,15.304 
M16x2,6H,13.835,14.210,14.701,14.913,0.212,16.000,16.501 
M16x1.5,6H,14.376,14.676,15.026,15.216,0.190,16.000,16.407 
M17x1,6H,15.917,16.153,16.350,16.510,0.160,17.000,17.304 
M18x1.5,6H,16.376,16.676,17.026,17.216,0.190,18.000,18.407 
M20x2.5,6H,17.294,17.744,18.376,18.600,0.224,20.000,20.585 
M20x1.5,6H,18.376,18.676,19.026,19.216,0.190,20.000,20.407
M20x1,6H,18.917,19.153,19.350,19.510,0.160,20.000,20.304 
M22x2.5,6H,19.294,19.744,20.376,20.600,0.224,22.000,22.585 
M22x1.5,6H,20.376,20.676,21.026,21.216,0.190,22.000,22.407 
M24x3,6H,20.752,21.252,22.051,22.316,0.265,24.000,24.698 
M24x2,6H,21.835,22.210,22.701,22.925,0.224,24.000,24.513 
M25x1.5,6H,23.376,23.676,24.026,24.226,0.200,25.000,25.417 
M27x3,6H,23.752,24.252,25.051,25.316,0.265,27.000,27.698 
M27x2,6H,24.835,25.210,25.701,25.925,0.224,27.000,27.513 
M30x3.5,6H,26.211,26.771,27.727,28.007,0.280,30.000,30.786 
M30x2,6H,27.835,28.210,28.701,28.925,0.224,30.000,30.513 
M30x1.5,6H,28.376,28.676,29.026,29.226,0.200,30.000,30.417 
M33x2,6H,30.835,31.210,31.701,31.925,0.224,33.000,33.513 
M35x1.5,6H,33.376,33.676,34.026,34.226,0.200,35.000,35.417 
M36x4,6H,31.670,32.270,33.402,33.702,0.300,36.000,36.877 
M36x2,6H,33.835,34.210,34.701,34.925,0.224,36.000,36.513 
M39x2,6H,36.835,37.210,37.701,37.925,0.224,39.000,39.513 
M40x1.5,6H,38.376,38.676,39.026,39.226,0.200,40.000,40.417 
M42x4.5,6H,37.129,37.799,39.077,39.392,0.315,42.000,42.964 
M42x2,6H,39.835,40.210,40.701,40.925,0.224,42.000,42.513 
M45x1.5,6H,43.376,43.676,44.026,44.226,0.200,45.000,45.417 
M48x5,6H,42.587,43.297,44.752,45.087,0.335,48.000,49.056 
M48x2,6H,45.835,46.210,46.701,46.937,0.236,48.000,48.525 
M50x1.5,6H,48.376,48.676,49.026,49.238,0.212,50.000,50.429 
M55x1.5,6H,53.376,53.676,54.026,54.238,0.212,55.000,55.429 
M56x5.5,6H,50.046,50.796,52.428,52.783,0.355,56.000,57.149 
M56x2,6H,53.835,54.210,54.701,54.937,0.236,56.000,56.525 
M60x1.5,6H,58.376,58.676,59.026,59.238,0.212,60.000,60.429 
M64x6,6H,57.505,58.305,60.103,60.478,0.375,64.000,65.241 
M64x2,6H,61.835,62.210,62.701,62.937,0.236,64.000,64.525 
M65x1.5,6H,63.376,63.676,64.026,64.238,0.212,65.000,65.429 
M70x1.5,6H,68.376,68.676,69.026,69.238,0.212,70.000,70.429 
M72x6,6H,65.505,66.305,68.103,68.478,0.375,72.000,73.241 
M72x2,6H,69.835,70.210,70.701,70.937,0.236,72.000,72.525 
M75x1.5,6H,73.376,73.676,74.026,74.238,0.212,75.000,75.429 
M80x6,6H,73.505,74.305,76.103,76.478,0.375,80.000,81.241 
M80x2,6H,77.835,78.210,78.701,78.937,0.236,80.000,80.525 
M80x1.5,6H,78.376,78.676,79.026,79.238,0.212,80.000,80.429 
M85x2,6H,82.835,83.210,83.701,83.937,0.236,85.000,85.525 
M90x6,6H,83.505,84.305,86.103,86.478,0.375,90.000,91.241 
M90x2,6H,87.835,88.210,88.701,88.937,0.236,90.000,90.525 
M95x2,6H,92.835,93.210,93.701,93.951,0.250,95.000,95.539 
M100x6,6H,93.505,94.305,96.103,96.503,0.400,100.000,101.266 
M100x2,6H,97.835,98.210,98.701,98.951,0.250,100.000,100.539 
M105x2,6H,102.835,103.210,103.701,103.951,0.250,105.000,105.539 
M110x2,6H,107.835,108.210,108.701,108.951,0.250,110.000,110.539 
M120x2,6H,117.835,118.210,118.701,118.951,0.250,120.000,120.539 
M130x2,6H,127.835,128.210,128.701,128.951,0.250,130.000,130.539 
M140x2,6H,137.835,138.210,138.701,138.951,0.250,140.000,140.539 
M150x2,6H,147.835,148.210,148.701,148.951,0.250,150.000,150.539 
M160x3,6H,156.752,157.252,158.051,158.351,0.300,160.000,160.733 
M170x3,6H,166.752,167.252,168.051,168.351,0.300,170.000,170.733 
M180x3,6H,176.752,177.252,178.051,178.351,0.300,180.000,180.733 
M190x3,6H,186.752,187.252,188.051,188.386,0.335,190.000,190.768 
M200x3,6H,196.752,197.252,198.051,198.386,0.335,200.000,200.768